time_sec,utc,orion_x_km,orion_y_km,orion_z_km,orion_vx_km_s,orion_vy_km_s,orion_vz_km_s,moon_x_km,moon_y_km,moon_z_km,phase,event,source
0.000,2026-04-02T01:57:37.084000Z,-24468.231698272,-12677.926410380,-6901.348388603,-1.837968636896,-3.417226472808,-1.847823515795,,,,EarthOrbit,Start,NASA_AROW_OEM
65.703,2026-04-02T01:58:42.787000Z,-24588.078986612,-12901.972754690,-7022.496964210,-1.810291262968,-3.402794535918,-1.839966535114,,,,EarthOrbit,None,NASA_AROW_OEM
362.253,2026-04-02T02:03:39.337000Z,-25107.400003890,-13901.530356087,-7563.003976432,-1.692929245416,-3.338842828659,-1.805380365302,,,,EarthOrbit,None,NASA_AROW_OEM
602.253,2026-04-02T02:07:39.337000Z,-25502.919460762,-14696.800884967,-7993.002753100,-1.604048423174,-3.288631725981,-1.778064092413,,,,EarthOrbit,None,NASA_AROW_OEM
842.253,2026-04-02T02:11:39.337000Z,-25877.790558700,-15480.178080093,-8416.532276891,-1.520761786002,-3.239726550853,-1.751466884193,,,,EarthOrbit,None,NASA_AROW_OEM
1082.253,2026-04-02T02:15:39.337000Z,-26233.288662563,-16251.971364546,-8833.762790311,-1.442521794638,-3.192092896951,-1.725568751199,,,,EarthOrbit,None,NASA_AROW_OEM
1322.253,2026-04-02T02:19:39.337000Z,-26570.566429055,-17012.481235519,-9244.859400498,-1.368851388549,-3.145691205799,-1.700347108171,,,,EarthOrbit,None,NASA_AROW_OEM
1562.253,2026-04-02T02:23:39.337000Z,-26890.669352807,-17761.998297703,-9649.981598284,-1.299332953612,-3.100478895742,-1.675777893943,,,,EarthOrbit,None,NASA_AROW_OEM
1802.253,2026-04-02T02:27:39.337000Z,-27194.548914706,-18500.802729778,-10049.283004678,-1.233599295563,-3.056411876135,-1.651836364850,,,,EarthOrbit,None,NASA_AROW_OEM
2042.253,2026-04-02T02:31:39.337000Z,-27483.073762449,-19229.164058339,-10442.911278088,-1.171326208390,-3.013445619059,-1.628497653559,,,,EarthOrbit,None,NASA_AROW_OEM
2282.253,2026-04-02T02:35:39.337000Z,-27757.039266312,-19947.341148581,-10831.008134245,-1.112226319579,-2.971535911140,-1.605737158614,,,,EarthOrbit,None,NASA_AROW_OEM
2522.253,2026-04-02T02:39:39.337000Z,-28017.175725628,-20655.582346096,-11213.709444132,-1.056043964214,-2.930639373337,-1.583530811487,,,,EarthOrbit,None,NASA_AROW_OEM
2762.253,2026-04-02T02:43:39.337000Z,-28264.155448579,-21354.125722108,-11591.145384780,-1.002550893175,-2.890713812083,-1.561855254806,,,,EarthOrbit,None,NASA_AROW_OEM
3002.253,2026-04-02T02:47:39.337000Z,-28498.598886315,-22043.199387490,-11963.440624694,-0.951542661538,-2.851718447790,-1.540687956192,,,,EarthOrbit,None,NASA_AROW_OEM
3242.253,2026-04-02T02:51:39.337000Z,-28721.079969411,-22723.021850352,-12330.714530710,-0.902835574790,-2.813614054271,-1.520007275506,,,,EarthOrbit,None,NASA_AROW_OEM
3482.253,2026-04-02T02:55:39.337000Z,-28932.130768347,-23393.802398944,-12693.081386730,-0.856264094913,-2.776363033668,-1.499792498480,,,,EarthOrbit,None,NASA_AROW_OEM
3722.253,2026-04-02T02:59:39.337000Z,-29132.245578590,-24055.741496652,-13050.650617491,-0.811678627521,-2.739929444967,-1.480023846323,,,,EarthOrbit,None,NASA_AROW_OEM
3962.253,2026-04-02T03:03:39.337000Z,-29321.884513806,-24709.031179643,-13403.527012469,-0.768943626290,-2.704278999401,-1.460682468282,,,,EarthOrbit,None,NASA_AROW_OEM
4202.253,2026-04-02T03:07:39.337000Z,-29501.476676925,-25353.855450447,-13751.810946484,-0.727935962789,-2.669379032597,-1.441750422350,,,,EarthOrbit,None,NASA_AROW_OEM
4317.499,2026-04-02T03:09:34.583000Z,-29584.090239438,-25660.573914827,-13917.498756941,-0.706843230608,-2.653054488216,-1.432959308136,,,,EarthOrbit,None,NASA_AROW_OEM
4422.499,2026-04-02T03:11:19.583000Z,-29657.408571253,-25938.361600591,-14067.534765395,-0.689745608936,-2.638161783550,-1.424881558032,,,,EarthOrbit,None,NASA_AROW_OEM
4527.499,2026-04-02T03:13:04.583000Z,-29728.947001036,-26214.592520909,-14216.726408913,-0.672938961474,-2.623401410275,-1.416875945664,,,,EarthOrbit,None,NASA_AROW_OEM
4632.499,2026-04-02T03:14:49.583000Z,-29798.735654047,-26489.280444631,-14365.081192911,-0.656415206630,-2.608770978260,-1.408941160751,,,,EarthOrbit,None,NASA_AROW_OEM
4737.499,2026-04-02T03:16:34.583000Z,-29866.803823199,-26762.438892413,-14512.606486759,-0.640166569243,-2.594268149956,-1.401075922174,,,,EarthOrbit,None,NASA_AROW_OEM
