t_sec,x_km,y_km,z_km,vx_km_s,vy_km_s,vz_km_s
-3526.268,-385266.210188118,-63193.830503274,-48565.185515626,0.162210110,-0.875743315,-0.464560752
-2926.268,-385168.430142115,-63719.202057630,-48843.864279182,0.163723265,-0.875494857,-0.464368281
-2326.268,-385069.742403302,-64244.423921366,-49122.427236782,0.165235752,-0.875244347,-0.464174732
-1726.268,-384970.147373529,-64769.494863806,-49400.873741949,0.166747568,-0.874991786,-0.463980106
-1126.268,-384869.645456627,-65294.413655067,-49679.203148707,0.168258709,-0.874737177,-0.463784404
-526.268,-384768.237058406,-65819.179066059,-49957.414811588,0.169769172,-0.874480519,-0.463587627
73.732,-384665.922586650,-66343.789868491,-50235.508085632,0.171278954,-0.874221815,-0.463389775
673.732,-384562.702451119,-66868.244834867,-50513.482326384,0.172788051,-0.873961066,-0.463190849
1273.732,-384458.577063543,-67392.542738494,-50791.336889901,0.174296460,-0.873698273,-0.462990851
1873.732,-384353.546837622,-67916.682353482,-51069.071132751,0.175804178,-0.873433437,-0.462789780
2473.732,-384247.612189021,-68440.662454746,-51346.684412010,0.177311201,-0.873166560,-0.462587639
3073.732,-384140.773535370,-68964.481818010,-51624.176085271,0.178817527,-0.872897644,-0.462384427
3673.732,-384033.031296262,-69488.139219806,-51901.545510639,0.180323152,-0.872626689,-0.462180146
4273.732,-383924.385893246,-70011.633437483,-52178.792046735,0.181828073,-0.872353697,-0.461974796
4873.732,-383814.837749831,-70534.963249199,-52455.915052695,0.183332287,-0.872078669,-0.461768379
5473.732,-383704.387291478,-71058.127433936,-52732.913888175,0.184835789,-0.871801607,-0.461560895
6073.732,-383593.034945603,-71581.124771489,-53009.787913347,0.186338578,-0.871522512,-0.461352345
6673.732,-383480.781141568,-72103.954042480,-53286.536488904,0.187840649,-0.871241386,-0.461142730
7273.732,-383367.626310685,-72626.614028353,-53563.158976060,0.189342000,-0.870958229,-0.460932050
7873.732,-383253.570886210,-73149.103511377,-53839.654736551,0.190842627,-0.870673043,-0.460720308
8473.732,-383138.615303341,-73671.421274653,-54116.023132637,0.192342528,-0.870385830,-0.460507502
9073.732,-383022.759999215,-74193.566102111,-54392.263527100,0.193841698,-0.870096591,-0.460293636
9673.732,-382906.005412909,-74715.536778514,-54668.375283250,0.195340134,-0.869805327,-0.460078708
10273.732,-382788.351985432,-75237.332089461,-54944.357764923,0.196837834,-0.869512039,-0.459862721
10873.732,-382669.800159728,-75758.950821391,-55220.210336482,0.198334794,-0.869216730,-0.459645675
11473.732,-382550.350380670,-76280.391761580,-55495.932362819,0.199831012,-0.868919400,-0.459427570
12073.732,-382430.003095058,-76801.653698147,-55771.523209357,0.201326482,-0.868620052,-0.459208409
12673.732,-382308.758751619,-77322.735420057,-56046.982242049,0.202821204,-0.868318685,-0.458988191
13273.732,-382186.617801001,-77843.635717122,-56322.308827380,0.204315173,-0.868015302,-0.458766918
13873.732,-382063.580695775,-78364.353380000,-56597.502332370,0.205808385,-0.867709905,-0.458544590
14473.732,-381939.647890425,-78884.887200204,-56872.562124571,0.207300839,-0.867402494,-0.458321209
15073.732,-381814.819841356,-79405.235970098,-57147.487572074,0.208792531,-0.867093071,-0.458096774
15673.732,-381689.097006883,-79925.398482904,-57422.278043502,0.210283457,-0.866781637,-0.457871288
16273.732,-381562.479847231,-80445.373532699,-57696.932908019,0.211773614,-0.866468194,-0.457644752
16873.732,-381434.968824534,-80965.159914423,-57971.451535328,0.213262999,-0.866152744,-0.457417165
17473.732,-381306.564402832,-81484.756423877,-58245.833295670,0.214751610,-0.865835287,-0.457188528
18073.732,-381177.267048068,-82004.161857728,-58520.077559829,0.216239443,-0.865515825,-0.456958844
18673.732,-381047.077228084,-82523.375013506,-58794.183699128,0.217726494,-0.865194360,-0.456728112
19273.732,-380915.995412621,-83042.394689615,-59068.151085436,0.219212760,-0.864870893,-0.456496334
19873.732,-380784.022073317,-83561.219685326,-59341.979091166,0.220698239,-0.864545426,-0.456263511
20473.732,-380651.157683702,-84079.848800786,-59615.667089275,0.222182927,-0.864217959,-0.456029642
21073.732,-380517.402719196,-84598.280837016,-59889.214453268,0.223666822,-0.863888495,-0.455794730
21673.732,-380382.757657109,-85116.514595916,-60162.620557195,0.225149919,-0.863557035,-0.455558776
22273.732,-380247.222976634,-85634.548880263,-60435.884775657,0.226632216,-0.863223580,-0.455321779
22873.732,-380110.799158851,-86152.382493720,-60709.006483803,0.228113709,-0.862888132,-0.455083741
23473.732,-379973.486686717,-86670.014240830,-60981.985057334,0.229594396,-0.862550693,-0.454844664
24073.732,-379835.286045070,-87187.442927025,-61254.819872501,0.231074274,-0.862211263,-0.454604547
