API VERSION: 1.2
API SOURCE: NASA/JPL Horizons API



*******************************************************************************
Ephemeris / API_USER Mon Jul 13 01:50:41 2026 Pasadena, USA      / Horizons
*******************************************************************************
Target body name: Moon (301)                      {source: DE441}
Center body name: Earth (399)                     {source: DE441}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 2026-Apr-02 01:00:00.0000 TDB
Stop  time      : A.D. 2026-Apr-11 00:30:00.0000 TDB
Step-size       : 10 minutes
*******************************************************************************
Center geodetic : 0.0, 0.0, 0.0                   {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.0, 0.0, 0.0                   {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : 6378.137, 6378.137, 6356.752 km {Equator_a, b, pole_c}
Output units    : KM-S
Calendar mode   : Mixed Julian/Gregorian
Output type     : GEOMETRIC cartesian states
Output format   : 2 (position and velocity)
EOP file        : eop.260710.p261006
EOP coverage    : DATA-BASED 1962-JAN-20 TO 2026-JUL-10. PREDICTS-> 2026-OCT-05
Reference frame : ICRF
*******************************************************************************
            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,
**************************************************************************************************************************************************************************************************
$$SOE
2461132.541666667, A.D. 2026-Apr-02 01:00:00.0000, -3.852662101881176E+05, -6.319383050327359E+04, -4.856518551562553E+04,  1.622101102395468E-01, -8.757433154087043E-01, -4.645607515246747E-01,
2461132.548611111, A.D. 2026-Apr-02 01:10:00.0000, -3.851684301421146E+05, -6.371920205763042E+04, -4.884386427918155E+04,  1.637232653627913E-01, -8.754948570407762E-01, -4.643682806114000E-01,
2461132.555555556, A.D. 2026-Apr-02 01:20:00.0000, -3.850697424033018E+05, -6.424442392136600E+04, -4.912242723678228E+04,  1.652357523881607E-01, -8.752443468903531E-01, -4.641747318134917E-01,
2461132.562500000, A.D. 2026-Apr-02 01:30:00.0000, -3.849701473735291E+05, -6.476949486380575E+04, -4.940087374194882E+04,  1.667475680122082E-01, -8.749917862745850E-01, -4.639801059710494E-01,
2461132.569444444, A.D. 2026-Apr-02 01:40:00.0000, -3.848696454566274E+05, -6.529441365506663E+04, -4.967920314870703E+04,  1.682587089354647E-01, -8.747371765145792E-01, -4.637844039261493E-01,
2461132.576388889, A.D. 2026-Apr-02 01:50:00.0000, -3.847682370584058E+05, -6.581917906605938E+04, -4.995741481158850E+04,  1.697691718624429E-01, -8.744805189353934E-01, -4.635876265228398E-01,
2461132.583333333, A.D. 2026-Apr-02 02:00:00.0000, -3.846659225866499E+05, -6.634378986849103E+04, -5.023550808563193E+04,  1.712789535016435E-01, -8.742218148660237E-01, -4.633897746071352E-01,
2461132.590277778, A.D. 2026-Apr-02 02:10:00.0000, -3.845627024511190E+05, -6.686824483486713E+04, -5.051348232638417E+04,  1.727880505655591E-01, -8.739610656393976E-01, -4.631908490270116E-01,
2461132.597222222, A.D. 2026-Apr-02 02:20:00.0000, -3.844585770635431E+05, -6.739254273849420E+04, -5.079133688990144E+04,  1.742964597706795E-01, -8.736982725923627E-01, -4.629908506324006E-01,
2461132.604166667, A.D. 2026-Apr-02 02:30:00.0000, -3.843535468376218E+05, -6.791668235348201E+04, -5.106907113275053E+04,  1.758041778374967E-01, -8.734334370656781E-01, -4.627897802751847E-01,
2461132.611111111, A.D. 2026-Apr-02 02:40:00.0000, -3.842476121890209E+05, -6.844066245474602E+04, -5.134668441200990E+04,  1.773112014905091E-01, -8.731665604040048E-01, -4.625876388091919E-01,
2461132.618055556, A.D. 2026-Apr-02 02:50:00.0000, -3.841407735353702E+05, -6.896448181800952E+04, -5.162417608527094E+04,  1.788175274582273E-01, -8.728976439558963E-01, -4.623844270901900E-01,
2461132.625000000, A.D. 2026-Apr-02 03:00:00.0000, -3.840330312962616E+05, -6.948813921980624E+04, -5.190154551063904E+04,  1.803231524731777E-01, -8.726266890737895E-01, -4.621801459758818E-01,
2461132.631944444, A.D. 2026-Apr-02 03:10:00.0000, -3.839243858932458E+05, -7.001163343748251E+04, -5.217879204673484E+04,  1.818280732719082E-01, -8.723536971139944E-01, -4.619747963258994E-01,
2461132.638888889, A.D. 2026-Apr-02 03:20:00.0000, -3.838148377498305E+05, -7.053496324919950E+04, -5.245591505269528E+04,  1.833322865949923E-01, -8.720786694366850E-01, -4.617683790017996E-01,
2461132.645833333, A.D. 2026-Apr-02 03:30:00.0000, -3.837043872914780E+05, -7.105812743393581E+04, -5.273291388817485E+04,  1.848357891870339E-01, -8.718016074058903E-01, -4.615608948670578E-01,
2461132.652777778, A.D. 2026-Apr-02 03:40:00.0000, -3.835930349456025E+05, -7.158112477148941E+04, -5.300978791334669E+04,  1.863385777966722E-01, -8.715225123894850E-01, -4.613523447870631E-01,
2461132.659722222, A.D. 2026-Apr-02 03:50:00.0000, -3.834807811415680E+05, -7.210395404248039E+04, -5.328653648890373E+04,  1.878406491765858E-01, -8.712413857591779E-01, -4.611427296291133E-01,
2461132.666666667, A.D. 2026-Apr-02 04:00:00.0000, -3.833676263106852E+05, -7.262661402835275E+04, -5.356315897605987E+04,  1.893420000834976E-01, -8.709582288905062E-01, -4.609320502624091E-01,
2461132.673611111, A.D. 2026-Apr-02 04:10:00.0000, -3.832535708862102E+05, -7.314910351137715E+04, -5.383965473655109E+04,  1.908426272781797E-01, -8.706730431628221E-01, -4.607203075580488E-01,
2461132.680555556, A.D. 2026-Apr-02 04:20:00.0000, -3.831386153033410E+05, -7.367142127465294E+04, -5.411602313263658E+04,  1.923425275254568E-01, -8.703858299592859E-01, -4.605075023890238E-01,
2461132.687500000, A.D. 2026-Apr-02 04:30:00.0000, -3.830227599992154E+05, -7.419356610211050E+04, -5.439226352709994E+04,  1.938416975942120E-01, -8.700965906668554E-01, -4.602936356302123E-01,
2461132.694444444, A.D. 2026-Apr-02 04:40:00.0000, -3.829060054129090E+05, -7.471553677851350E+04, -5.466837528325022E+04,  1.953401342573903E-01, -8.698053266762775E-01, -4.600787081583746E-01,
2461132.701388889, A.D. 2026-Apr-02 04:50:00.0000, -3.827883519854323E+05, -7.523733208946127E+04, -5.494435776492310E+04,  1.968378342920033E-01, -8.695120393820767E-01, -4.598627208521476E-01,
2461132.708333333, A.D. 2026-Apr-02 05:00:00.0000, -3.826698001597282E+05, -7.575895082139090E+04, -5.522021033648200E+04,  1.983347944791337E-01, -8.692167301825479E-01, -4.596456745920399E-01,
2461132.715277778, A.D. 2026-Apr-02 05:10:00.0000, -3.825503503806698E+05, -7.628039176157964E+04, -5.549593236281922E+04,  1.998310116039397E-01, -8.689194004797450E-01, -4.594275702604256E-01,
2461132.722222222, A.D. 2026-Apr-02 05:20:00.0000, -3.824300030950581E+05, -7.680165369814710E+04, -5.577152320935706E+04,  2.013264824556588E-01, -8.686200516794728E-01, -4.592084087415402E-01,
2461132.729166667, A.D. 2026-Apr-02 05:30:00.0000, -3.823087587516190E+05, -7.732273542005742E+04, -5.604698224204883E+04,  2.028212038276128E-01, -8.683186851912771E-01, -4.589881909214746E-01,
2461132.736111111, A.D. 2026-Apr-02 05:40:00.0000, -3.821866178010014E+05, -7.784363571712167E+04, -5.632230882738016E+04,  2.043151725172118E-01, -8.680153024284346E-01, -4.587669176881696E-01,
2461132.743055556, A.D. 2026-Apr-02 05:50:00.0000, -3.820635806957745E+05, -7.836435338000000E+04, -5.659750233236994E+04,  2.058083853259577E-01, -8.677099048079439E-01, -4.585445899314111E-01,
2461132.750000000, A.D. 2026-Apr-02 06:00:00.0000, -3.819396478904253E+05, -7.888488720020381E+04, -5.687256212457147E+04,  2.073008390594498E-01, -8.674024937505158E-01, -4.583212085428249E-01,
2461132.756944444, A.D. 2026-Apr-02 06:10:00.0000, -3.818148198413563E+05, -7.940523597009806E+04, -5.714748757207364E+04,  2.087925305273880E-01, -8.670930706805650E-01, -4.580967744158706E-01,
2461132.763888889, A.D. 2026-Apr-02 06:20:00.0000, -3.816890970068829E+05, -7.992539848290355E+04, -5.742227804350189E+04,  2.102834565435770E-01, -8.667816370261974E-01, -4.578712884458374E-01,
2461132.770833333, A.D. 2026-Apr-02 06:30:00.0000, -3.815624798472308E+05, -8.044537353269896E+04, -5.769693290801944E+04,  2.117736139259302E-01, -8.664681942192046E-01, -4.576447515298379E-01,
2461132.777777778, A.D. 2026-Apr-02 06:40:00.0000, -3.814349688245342E+05, -8.096515991442314E+04, -5.797145153532828E+04,  2.132629994964748E-01, -8.661527436950516E-01, -4.574171645668033E-01,
2461132.784722222, A.D. 2026-Apr-02 06:50:00.0000, -3.813065644028322E+05, -8.148475642387739E+04, -5.824583329567033E+04,  2.147516100813549E-01, -8.658352868928683E-01, -4.571885284574781E-01,
2461132.791666667, A.D. 2026-Apr-02 07:00:00.0000, -3.811772670480676E+05, -8.200416185772752E+04, -5.852007755982850E+04,  2.162394425108353E-01, -8.655158252554398E-01, -4.569588441044146E-01,
2461132.798611111, A.D. 2026-Apr-02 07:10:00.0000, -3.810470772280835E+05, -8.252337501350613E+04, -5.879418369912775E+04,  2.177264936193067E-01, -8.651943602291972E-01, -4.567281124119675E-01,
2461132.805555556, A.D. 2026-Apr-02 07:20:00.0000, -3.809159954126210E+05, -8.304239468961477E+04, -5.906815108543620E+04,  2.192127602452882E-01, -8.648708932642066E-01, -4.564963342862892E-01,
2461132.812500000, A.D. 2026-Apr-02 07:30:00.0000, -3.807840220733171E+05, -8.356121968532613E+04, -5.934197909116622E+04,  2.206982392314322E-01, -8.645454258141623E-01, -4.562635106353236E-01,
2461132.819444444, A.D. 2026-Apr-02 07:40:00.0000, -3.806511576837019E+05, -8.407984880078620E+04, -5.961566708927546E+04,  2.221829274245278E-01, -8.642179593363747E-01, -4.560296423688018E-01,
2461132.826388889, A.D. 2026-Apr-02 07:50:00.0000, -3.805174027191961E+05, -8.459828083701638E+04, -5.988921445326795E+04,  2.236668216755050E-01, -8.638884952917619E-01, -4.557947303982361E-01,
2461132.833333333, A.D. 2026-Apr-02 08:00:00.0000, -3.803827576571087E+05, -8.511651459591580E+04, -6.016262055719518E+04,  2.251499188394382E-01, -8.635570351448407E-01, -4.555587756369150E-01,
2461132.840277778, A.D. 2026-Apr-02 08:10:00.0000, -3.802472229766344E+05, -8.563454888026333E+04, -6.043588477565710E+04,  2.266322157755501E-01, -8.632235803637150E-01, -4.553217789998978E-01,
2461132.847222222, A.D. 2026-Apr-02 08:20:00.0000, -3.801107991588510E+05, -8.615238249371975E+04, -6.070900648380328E+04,  2.281137093472156E-01, -8.628881324200692E-01, -4.550837414040093E-01,
2461132.854166667, A.D. 2026-Apr-02 08:30:00.0000, -3.799734866867171E+05, -8.667001424082996E+04, -6.098198505733385E+04,  2.295943964219652E-01, -8.625506927891564E-01, -4.548446637678348E-01,
2461132.861111111, A.D. 2026-Apr-02 08:40:00.0000, -3.798352860450697E+05, -8.718744292702504E+04, -6.125481987250067E+04,  2.310742738714890E-01, -8.622112629497891E-01, -4.546045470117145E-01,
2461132.868055556, A.D. 2026-Apr-02 08:50:00.0000, -3.796961977206213E+05, -8.770466735862444E+04, -6.152751030610833E+04,  2.325533385716405E-01, -8.618698443843309E-01, -4.543633920577382E-01,
2461132.875000000, A.D. 2026-Apr-02 09:00:00.0000, -3.795562222019577E+05, -8.822168634283815E+04, -6.180005573551514E+04,  2.340315874024394E-01, -8.615264385786862E-01, -4.541211998297403E-01,
2461132.881944444, A.D. 2026-Apr-02 09:10:00.0000, -3.794153599795354E+05, -8.873849868776872E+04, -6.207245553863430E+04,  2.355090172480763E-01, -8.611810470222897E-01, -4.538779712532939E-01,
2461132.888888889, A.D. 2026-Apr-02 09:20:00.0000, -3.792736115456793E+05, -8.925510320241333E+04, -6.234470909393485E+04,  2.369856249969155E-01, -8.608336712080991E-01, -4.536337072557063E-01,
2461132.895833333, A.D. 2026-Apr-02 09:30:00.0000, -3.791309773945800E+05, -8.977149869666612E+04, -6.261681578044272E+04,  2.384614075414991E-01, -8.604843126325835E-01, -4.533884087660134E-01,
2461132.902777778, A.D. 2026-Apr-02 09:40:00.0000, -3.789874580222911E+05, -9.028768398132012E+04, -6.288877497774178E+04,  2.399363617785496E-01, -8.601329727957147E-01, -4.531420767149744E-01,
2461132.909722222, A.D. 2026-Apr-02 09:50:00.0000, -3.788430539267271E+05, -9.080365786806939E+04, -6.316058606597492E+04,  2.414104846089746E-01, -8.597796532009575E-01, -4.528947120350660E-01,
2461132.916666667, A.D. 2026-Apr-02 10:00:00.0000, -3.786977656076606E+05, -9.131941916951108E+04, -6.343224842584493E+04,  2.428837729378693E-01, -8.594243553552607E-01, -4.526463156604781E-01,
2461132.923611111, A.D. 2026-Apr-02 10:10:00.0000, -3.785515935667201E+05, -9.183496669914757E+04, -6.370376143861572E+04,  2.443562236745203E-01, -8.590670807690463E-01, -4.523968885271079E-01,
2461132.930555556, A.D. 2026-Apr-02 10:20:00.0000, -3.784045383073870E+05, -9.235029927138858E+04, -6.397512448611321E+04,  2.458278337324088E-01, -8.587078309562014E-01, -4.521464315725547E-01,
2461132.937500000, A.D. 2026-Apr-02 10:30:00.0000, -3.782566003349935E+05, -9.286541570155314E+04, -6.424633695072639E+04,  2.472986000292142E-01, -8.583466074340678E-01, -4.518949457361146E-01,
2461132.944444444, A.D. 2026-Apr-02 10:40:00.0000, -3.781077801567198E+05, -9.338031480587175E+04, -6.451739821540835E+04,  2.487685194868175E-01, -8.579834117234321E-01, -4.516424319587756E-01,
2461132.951388889, A.D. 2026-Apr-02 10:50:00.0000, -3.779580782815919E+05, -9.389499540148838E+04, -6.478830766367726E+04,  2.502375890313038E-01, -8.576182453485177E-01, -4.513888911832115E-01,
2461132.958333333, A.D. 2026-Apr-02 11:00:00.0000, -3.778074952204788E+05, -9.440945630646261E+04, -6.505906467961742E+04,  2.517058055929667E-01, -8.572511098369737E-01, -4.511343243537775E-01,
2461132.965277778, A.D. 2026-Apr-02 11:10:00.0000, -3.776560314860900E+05, -9.492369633977160E+04, -6.532966864788021E+04,  2.531731661063106E-01, -8.568820067198656E-01, -4.508787324165045E-01,
2461132.972222222, A.D. 2026-Apr-02 11:20:00.0000, -3.775036875929732E+05, -9.543771432131223E+04, -6.560011895368519E+04,  2.546396675100543E-01, -8.565109375316663E-01, -4.506221163190939E-01,
2461132.979166667, A.D. 2026-Apr-02 11:30:00.0000, -3.773504640575114E+05, -9.595150907190292E+04, -6.587041498282096E+04,  2.561053067471344E-01, -8.561379038102467E-01, -4.503644770109122E-01,
2461132.986111111, A.D. 2026-Apr-02 11:40:00.0000, -3.771963613979205E+05, -9.646507941328610E+04, -6.614055612164632E+04,  2.575700807647078E-01, -8.557629070968648E-01, -4.501058154429861E-01,
2461132.993055556, A.D. 2026-Apr-02 11:50:00.0000, -3.770413801342474E+05, -9.697842416812970E+04, -6.641054175709114E+04,  2.590339865141552E-01, -8.553859489361579E-01, -4.498461325679965E-01,
2461133.000000000, A.D. 2026-Apr-02 12:00:00.0000, -3.768855207883661E+05, -9.749154216002960E+04, -6.668037127665736E+04,  2.604970209510844E-01, -8.550070308761323E-01, -4.495854293402742E-01,
2461133.006944444, A.D. 2026-Apr-02 12:10:00.0000, -3.767287838839766E+05, -9.800443221351143E+04, -6.695004406842009E+04,  2.619591810353329E-01, -8.546261544681533E-01, -4.493237067157941E-01,
2461133.013888889, A.D. 2026-Apr-02 12:20:00.0000, -3.765711699466015E+05, -9.851709315403271E+04, -6.721955952102847E+04,  2.634204637309709E-01, -8.542433212669357E-01, -4.490609656521695E-01,
2461133.020833333, A.D. 2026-Apr-02 12:30:00.0000, -3.764126795035836E+05, -9.902952380798472E+04, -6.748891702370670E+04,  2.648808660063046E-01, -8.538585328305359E-01, -4.487972071086478E-01,
2461133.027777778, A.D. 2026-Apr-02 12:40:00.0000, -3.762533130840835E+05, -9.954172300269458E+04, -6.775811596625503E+04,  2.663403848338792E-01, -8.534717907203400E-01, -4.485324320461047E-01,
2461133.034722222, A.D. 2026-Apr-02 12:50:00.0000, -3.760930712190771E+05, -1.000536895664273E+05, -6.802715573905072E+04,  2.677990171904813E-01, -8.530830965010554E-01, -4.482666414270389E-01,
2461133.041666667, A.D. 2026-Apr-02 13:00:00.0000, -3.759319544413529E+05, -1.005654223283876E+05, -6.829603573304899E+04,  2.692567600571423E-01, -8.526924517407017E-01, -4.479998362155669E-01,
2461133.048611111, A.D. 2026-Apr-02 13:10:00.0000, -3.757699632855095E+05, -1.010769201187221E+05, -6.856475533978405E+04,  2.707136104191410E-01, -8.522998580106003E-01, -4.477320173774179E-01,
2461133.055555556, A.D. 2026-Apr-02 13:20:00.0000, -3.756070982879530E+05, -1.015881817685213E+05, -6.883331395137002E+04,  2.721695652660063E-01, -8.519053168853656E-01, -4.474631858799284E-01,
2461133.062500000, A.D. 2026-Apr-02 13:30:00.0000, -3.754433599868946E+05, -1.020992061098211E+05, -6.910171096050189E+04,  2.736246215915207E-01, -8.515088299428942E-01, -4.471933426920367E-01,
2461133.069444444, A.D. 2026-Apr-02 13:40:00.0000, -3.752787489223479E+05, -1.026099919756055E+05, -6.936994576045648E+04,  2.750787763937217E-01, -8.511103987643571E-01, -4.469224887842785E-01,
2461133.076388889, A.D. 2026-Apr-02 13:50:00.0000, -3.751132656361263E+05, -1.031205381998080E+05, -6.963801774509344E+04,  2.765320266749063E-01, -8.507100249341895E-01, -4.466506251287806E-01,
2461133.083333333, A.D. 2026-Apr-02 14:00:00.0000, -3.749469106718409E+05, -1.036308436173137E+05, -6.990592630885620E+04,  2.779843694416322E-01, -8.503077100400800E-01, -4.463777526992564E-01,
2461133.090277778, A.D. 2026-Apr-02 14:10:00.0000, -3.747796845748972E+05, -1.041409070639615E+05, -7.017367084677280E+04,  2.794358017047210E-01, -8.499034556729630E-01, -4.461038724710003E-01,
2461133.097222222, A.D. 2026-Apr-02 14:20:00.0000, -3.746115878924930E+05, -1.046507273765455E+05, -7.044125075445701E+04,  2.808863204792613E-01, -8.494972634270083E-01, -4.458289854208826E-01,
2461133.104166667, A.D. 2026-Apr-02 14:30:00.0000, -3.744426211736159E+05, -1.051603033928176E+05, -7.070866542810918E+04,  2.823359227846105E-01, -8.490891348996110E-01, -4.455530925273438E-01,
2461133.111111111, A.D. 2026-Apr-02 14:40:00.0000, -3.742727849690406E+05, -1.056696339514888E+05, -7.097591426451714E+04,  2.837846056443977E-01, -8.486790716913836E-01, -4.452761947703906E-01,
