time,x,y,z
0,7000000.0,0.0,0.0
60,6985357.922523566,634543.3611821735,0.0
120,6941669.065328447,1266448.25119844,0.0
180,6869629.044968936,1893180.8296215015,0.0
240,6770344.752329128,2512405.3604989722,0.0
300,6645263.926371841,3122057.18945445,0.0
360,6496090.915787158,3720390.2353093727,0.0
420,6324698.720115972,4305998.221545694,0.0
480,6133045.952953893,4877812.495434099,0.0
540,5923104.798600864,5435081.565823037,0.0
600,5696803.1912888605,5977338.329701689,0.0
660,5455981.9763779035,6504360.642670855,0.0
720,5202366.041721697,7016129.87582838,0.0
780,4937547.3821044965,7512790.824150044,0.0
840,4662977.65581464,7994615.098912708,0.0
900,4379967.820265605,8461969.117526673,0.0
960,4089692.710248841,8915287.054056453,0.0
1020,3793198.8063461734,9355048.618168425,0.0
1080,3491413.839093936,9781761.241551436,0.0
1140,3185157.2347721094,10195946.11319452,0.0
1200,2875150.7087119743,10598127.467839958,0.0
1260,2562028.547537609,10988824.555716796,0.0
1320,2246347.298268715,11368545.7778048,0.0
1380,1928594.7093009858,11737784.540494245,0.0
1440,1609197.8563340176,12097016.455012769,0.0
1500,1288530.4448490026,12446697.573933637,0.0
1560,966919.3177114805,12787263.416371748,0.0
1620,644650.218180351,13119128.584096652,0.0
1680,321972.8698164696,13442686.812908906,0.0
1740,-894.5609888456529,13758311.338005077,0.0
1800,-323761.554390847,14066355.479714664,0.0
1860,-646461.8158612231,14367153.377991201,0.0
1920,-968850.2863160914,14661020.821376927,0.0
1980,-1290800.530762529,14948256.129718702,0.0
2040,-1612202.4580202866,15229141.06044482,0.0
2100,-1932960.3293527383,15503941.716343476,0.0
2160,-2252991.0188131607,15772909.439024122,0.0
2220,-2572222.492681388,16036281.67700366,0.0
2280,-2890592.4794918136,16294282.820967635,0.0
2340,-3208047.3058329746,16547125.001471542,0.0
2400,-3524540.8763496913,16795008.8463721,0.0
2460,-3840033.7792312684,17038124.1967727,0.0
2520,-4154492.5009595575,17276650.781354666,0.0
2580,-4467888.736256566,17510758.849743567,0.0
2640,-4780198.781049823,17740609.766101386,0.0
2700,-5091402.9978997735,17966356.564499453,0.0
2760,-5401485.344739112,18188144.467857424,0.0
2820,-5710432.958988085,18406111.37236479,0.0
2880,-6018235.790157922,18620388.29935944,0.0
2940,-6324886.274959377,18831099.81664277,0.0
3000,-6630379.049714565,19038364.431177914,0.0
3060,-6934710.695544913,19242294.955058515,0.0
3120,-7237879.5123911165,19442998.846558563,0.0
3180,-7539885.318425111,19640578.52798607,0.0
3240,-7840729.271850386,19835131.681969155,0.0
3300,-8140413.712464887,20026751.52770655,0.0
3360,-8438942.020688403,20215527.078617588,0.0
3420,-8736318.492040744,20401543.38273196,0.0
3480,-9032548.22530408,20584881.747067396,0.0
3540,-9327637.02281776,20765619.94715563,0.0
3600,-9621591.30154106,20943832.422793265,0.0
3660,-9914418.01368248,21119590.461015433,0.0
3720,-10206124.575836673,21292962.367216054,0.0
3780,-10496718.80569446,21464013.625269387,0.0
3840,-10786208.865500377,21632807.0474431,0.0
3900,-11074603.2115275,21799402.914833196,0.0
3960,-11361910.548922997,21963859.108995665,0.0
4020,-11648139.79135127,22126231.235398266,0.0
4080,-11933300.024926158,22286572.739268467,0.0
4140,-12217400.475980429,22444935.01436964,0.0
4200,-12500450.48227093,22601367.505197234,0.0
4260,-12782459.467261853,22755917.80304931,0.0
4320,-13063436.917167626,22908631.73639157,0.0
4380,-13343392.360471386,23059553.455905266,0.0
4440,-13622335.349665502,23208725.51457735,0.0
4500,-13900275.444987647,23356188.94316536,0.0
4560,-14177222.199949909,23501983.321344808,0.0
4620,-14453185.14847967,23646146.84482424,0.0
4680,-14728173.793509945,23788716.388691988,0.0
4740,-15002197.596873648,23929727.567239553,0.0
4800,-15275265.970371263,24069214.790488686,0.0
4860,-15547388.26789474,24207211.317632876,0.0
4920,-15818573.778502345,24343749.307588864,0.0
4980,-16088831.720349822,24478859.86683993,0.0
5040,-16358171.23539272,24612573.094739795,0.0
5100,-16626601.38478328,24744918.12643418,0.0
5160,-16894131.14489283,24875923.173546094,0.0
5220,-17160769.4038975,25005615.562760856,0.0
5280,-17426524.95887114,25134021.772437483,0.0
5340,-17691406.513334855,25261167.467364475,0.0
5400,-17955422.67521746,25387077.531770013,0.0
5460,-18218581.955185626,25511776.10068924,0.0
5520,-18480892.7653064,25635286.58978438,0.0
5580,-18742363.418008458,25757631.72370723,0.0
5640,-19003002.12531162,25878833.56308754,0.0
5700,-19262816.998297047,25998913.53022551,0.0
5760,-19521816.04679324,26117892.433561396,0.0
5820,-19780007.179255247,26235790.49099072,0.0
5880,-20037398.202816665,26352627.3520891,0.0
5940,-20293996.82349596,26468422.11930664,0.0
6000,-20549810.64654036,26583193.368188206,0.0
6060,-20804847.176892094,26696959.16667227,0.0
6120,-21059113.81976337,26809737.09351778,0.0
6180,-21312617.881307494,26921544.25590554,0.0
6240,-21565366.569374986,27032397.30625769,0.0
6300,-21817366.9943444,27142312.458316293,0.0
6360,-22068626.170018632,27251305.502519485,0.0
6420,-22319151.014578357,27359391.82071154,0.0
6480,-22568948.351584967,27466586.400220796,0.0
6540,-22818024.9110262,27572903.847337686,0.0
6600,-23066387.330398183,27678358.400222972,0.0
6660,-23314042.15581837,27782963.94127476,0.0
6720,-23560995.84316417,27886734.00898108,0.0
6780,-23807254.759232774,27989681.809283406,0.0
6840,-24052825.182918016,28091820.226474956,0.0
6900,-24297713.306400474,28193161.833656367,0.0
6960,-24541925.23634751,28293718.90277002,0.0
7020,-24785466.995120183,28393503.41423314,0.0
7080,-25028344.521984268,28492527.06618868,0.0
7140,-25270563.674322996,28590801.283391967,0.0
7200,-25512130.22884925,28688337.22575016,0.0
7260,-25753049.882815268,28785145.79653053,0.0
7320,-25993328.25521808,28881237.650252886,0.0
7380,-26232970.88799912,28976623.200280517,0.0
7440,-26471983.247236583,29071312.626123346,0.0
7500,-26710370.724329304,29165315.88046624,0.0
7560,-26948138.63717104,29258642.695934795,0.0
7620,-27185292.231314197,29351302.59161018,0.0
7680,-27421836.681122128,29443304.87930417,0.0
7740,-27657777.090909276,29534658.669604838,0.0
7800,-27893118.496068507,29625372.87770283,0.0
7860,-28127865.864185054,29715456.229007747,0.0
