time,x,y,z
0,-160104738.84202588,349470789.33771664,0.0
60,-160160282.4403903,349445337.54024315,0.0
120,-160215821.99269104,349419876.9148751,0.0
180,-160271357.49752504,349394407.4622557,0.0
240,-160326888.95348933,349368929.1830284,0.0
300,-160382416.35918105,349343442.0778368,0.0
360,-160437939.7131974,349317946.1473248,0.0
420,-160493459.01413575,349292441.3921365,0.0
480,-160548974.26059353,349266927.8129162,0.0
540,-160604485.45116827,349241405.4103085,0.0
600,-160659992.58445764,349215874.18495804,0.0
660,-160715495.65905935,349190334.1375099,0.0
720,-160770994.67357126,349164785.2686092,0.0
780,-160826489.62659135,349139227.57890147,0.0
840,-160881980.51671764,349113661.0690323,0.0
900,-160937467.3425483,349088085.7396476,0.0
960,-160992950.1026816,349062501.5913935,0.0
1020,-161048428.7957159,349036908.6249162,0.0
1080,-161103903.42024964,349011306.84086233,0.0
1140,-161159373.97488138,348985696.2398787,0.0
1200,-161214840.4582098,348960076.8226122,0.0
1260,-161270302.86883372,348934448.5897102,0.0
1320,-161325761.20535198,348908811.54181993,0.0
1380,-161381215.46636355,348883165.67958915,0.0
1440,-161436665.65046751,348857511.00366575,0.0
1500,-161492111.75626308,348831847.51469785,0.0
1560,-161547553.7823495,348806175.2133337,0.0
1620,-161602991.72732618,348780494.10022193,0.0
1680,-161658425.58979264,348754804.17601126,0.0
1740,-161713855.36834845,348729105.4413507,0.0
1800,-161769281.0615933,348703397.8968895,0.0
1860,-161824702.668127,348677681.5432771,0.0
1920,-161880120.18654948,348651956.38116306,0.0
1980,-161935533.61546072,348626222.41119736,0.0
2040,-161990942.95346087,348600479.6340301,0.0
2100,-162046348.19915012,348574728.05031157,0.0
2160,-162101749.3511288,348548967.66069233,0.0
2220,-162157146.4079973,348523198.4658232,0.0
2280,-162212539.3683562,348497420.4663551,0.0
2340,-162267928.23080608,348471633.6629393,0.0
2400,-162323312.9939477,348445838.05622727,0.0
2460,-162378693.65638193,348420033.6468706,0.0
2520,-162434070.21670967,348394220.43552125,0.0
2580,-162489442.67353195,348368398.4228313,0.0
2640,-162544811.02544996,348342567.609453,0.0
2700,-162600175.2710649,348316727.99603903,0.0
2760,-162655535.4089782,348290879.5832421,0.0
2820,-162710891.43779126,348265022.37171525,0.0
2880,-162766243.35610566,348239156.3621116,0.0
2940,-162821591.16252306,348213281.55508476,0.0
3000,-162876934.85564524,348187397.9512883,0.0
3060,-162932274.43407407,348161505.55137604,0.0
3120,-162987609.89641154,348135604.35600215,0.0
3180,-163042941.24125972,348109694.365821,0.0
3240,-163098268.4672208,348083775.5814871,0.0
3300,-163153591.57289708,348057848.00365525,0.0
3360,-163208910.55689093,348031911.6329804,0.0
3420,-163264225.4178049,348005966.4701178,0.0
3480,-163319536.15424153,347980012.51572293,0.0
3540,-163374842.76480356,347954049.77045137,0.0
3600,-163430145.2480938,347928078.23495907,0.0
3660,-163485443.6027152,347902097.9099021,0.0
3720,-163540737.82727072,347876108.7959368,0.0
3780,-163596027.92036352,347850110.8937198,0.0
3840,-163651313.88059682,347824104.2039078,0.0
3900,-163706595.70657393,347798088.7271578,0.0
3960,-163761873.39689833,347772064.464127,0.0
4020,-163817146.95017353,347746031.41547287,0.0
4080,-163872416.3650032,347719989.5818531,0.0
4140,-163927681.63999107,347693938.9639255,0.0
4200,-163982942.77374104,347667879.5623482,0.0
4260,-164038199.76485702,347641811.37777954,0.0
4320,-164093452.6119431,347615734.4108781,0.0
4380,-164148701.31360343,347589648.6623027,0.0
4440,-164203945.8684423,347563554.1327122,0.0
4500,-164259186.27506408,347537450.8227658,0.0
4560,-164314422.53207326,347511338.7331231,0.0
4620,-164369654.63807443,347485217.86444366,0.0
4680,-164424882.5916723,347459088.2173874,0.0
4740,-164480106.39147165,347432949.79261434,0.0
4800,-164535326.03607738,347406802.59078485,0.0
4860,-164590541.52409452,347380646.6125595,0.0
4920,-164645752.85412815,347354481.85859907,0.0
4980,-164700960.02478352,347328308.3295645,0.0
5040,-164756163.03466594,347302126.026117,0.0
5100,-164811361.88238084,347275934.9489181,0.0
5160,-164866556.56653377,347249735.09862936,0.0
5220,-164921747.08573034,347223526.47591263,0.0
5280,-164976933.4385763,347197309.0814301,0.0
5340,-165032115.62367752,347171082.915844,0.0
5400,-165087293.63963994,347144847.979817,0.0
5460,-165142467.48506963,347118604.2740117,0.0
5520,-165197637.15857276,347092351.79909116,0.0
5580,-165252802.65875557,347066090.5557186,0.0
5640,-165307963.98422447,347039820.54455745,0.0
5700,-165363121.13358593,347013541.76627135,0.0
5760,-165418274.10544652,346987254.2215241,0.0
5820,-165473422.89841297,346960957.9109799,0.0
5880,-165528567.51109207,346934652.83530307,0.0
5940,-165583707.9420907,346908338.995158,0.0
6000,-165638844.19001585,346882016.3912096,0.0
6060,-165693976.25347468,346855685.0241228,0.0
6120,-165749104.13107443,346829344.8945627,0.0
6180,-165804227.82142237,346802996.00319487,0.0
6240,-165859347.32312596,346776638.3506849,0.0
6300,-165914462.63479275,346750271.9376986,0.0
6360,-165969573.75503036,346723896.7649021,0.0
6420,-166024680.68244657,346697512.8329617,0.0
6480,-166079783.4156492,346671120.14254385,0.0
6540,-166134881.95324624,346644718.69431543,0.0
6600,-166189976.29384574,346618308.48894334,0.0
6660,-166245066.4360559,346591889.5270948,0.0
6720,-166300152.37848496,346565461.80943716,0.0
6780,-166355234.11974135,346539025.3366381,0.0
6840,-166410311.65843356,346512580.10936546,0.0
6900,-166465384.99317014,346486126.1282873,0.0
6960,-166520454.12255985,346459663.394072,0.0
7020,-166575519.04521146,346433191.907388,0.0
7080,-166630579.75973392,346406711.668904,0.0
7140,-166685636.26473624,346380222.67928904,0.0
7200,-166740688.55882752,346353724.9392123,0.0
7260,-166795736.64061704,346327218.44934314,0.0
7320,-166850780.50871414,346300703.2103512,0.0
