t_sec,phase,orion_x,orion_y,orion_z,moon_x,moon_y,moon_z,orion_vx,orion_vy,orion_vz
0.000,EarthOrbit,-24468.231698272,-12677.926410380,-6901.348388603,-384678.496,-66279.322,-50201.334,-1.837968636896,-3.417226472808,-1.847823515795
65.703,EarthOrbit,-24588.078986612,-12901.972754690,-7022.496964210,-384667.292,-66336.770,-50231.787,-1.810291262968,-3.402794535918,-1.839966535114
362.253,EarthOrbit,-25107.400003890,-13901.530356087,-7563.003976432,-384616.287,-66595.984,-50369.177,-1.692929245416,-3.338842828659,-1.805380365302
602.253,EarthOrbit,-25502.919460762,-14696.800884967,-7993.002753100,-384574.999,-66805.766,-50480.367,-1.604048423174,-3.288631725981,-1.778064092413
842.253,EarthOrbit,-25877.790558700,-15480.178080093,-8416.532276891,-384533.457,-67015.504,-50591.523,-1.520761786002,-3.239726550853,-1.751466884193
1082.253,EarthOrbit,-26233.288662563,-16251.971364546,-8833.762790311,-384491.807,-67225.223,-50702.665,-1.442521794638,-3.192092896951,-1.725568751199
1322.253,EarthOrbit,-26570.566429055,-17012.481235519,-9244.859400498,-384450.083,-67434.929,-50813.797,-1.368851388549,-3.145691205799,-1.700347108171
1562.253,EarthOrbit,-26890.669352807,-17761.998297703,-9649.981598284,-384408.071,-67644.585,-50924.890,-1.299332953612,-3.100478895742,-1.675777893943
1802.253,EarthOrbit,-27194.548914706,-18500.802729778,-10049.283004678,-384366.059,-67854.241,-51035.984,-1.233599295563,-3.056411876135,-1.651836364850
2042.253,EarthOrbit,-27483.073762449,-19229.164058339,-10442.911278088,-384323.793,-68063.852,-51147.044,-1.171326208390,-3.013445619059,-1.628497653559
2282.253,EarthOrbit,-27757.039266312,-19947.341148581,-10831.008134245,-384281.419,-68273.444,-51258.089,-1.112226319579,-2.971535911140,-1.605737158614
2522.253,EarthOrbit,-28017.175725628,-20655.582346096,-11213.709444132,-384238.972,-68483.023,-51369.125,-1.056043964214,-2.930639373337,-1.583530811487
2762.253,EarthOrbit,-28264.155448579,-21354.125722108,-11591.145384780,-384196.237,-68692.551,-51480.121,-1.002550893175,-2.890713812083,-1.561855254806
