t_sec,phase,orion_x,orion_y,orion_z,moon_x,moon_y,moon_z,orion_vx,orion_vy,orion_vz
151.613,EarthOrbit,-16823.511,23628.505,409.905,-238101.521,317361.711,105.367,-4.586448605,2.170019705,0.041904539
391.613,EarthOrbit,-17916.463,24138.512,419.775,-238297.772,317225.395,105.216,-4.521954532,2.081310884,0.040366756
631.613,EarthOrbit,-18994.272,24628.105,429.291,-238494.023,317089.080,105.066,-4.460236335,1.999744368,0.038949355
871.613,EarthOrbit,-20057.586,25098.893,438.480,-238690.055,316952.475,104.916,-4.401136617,1.924469797,0.037638242
1111.613,EarthOrbit,-21107.014,25552.296,447.365,-238886.085,316815.868,104.766,-4.344501571,1.854767122,0.036421457
1351.613,EarthOrbit,-22143.132,25989.577,455.969,-239082.007,316679.119,104.616,-4.290183605,1.790022652,0.035288783
1591.613,EarthOrbit,-23166.477,26411.861,464.310,-239277.817,316542.222,104.466,-4.238042755,1.729710162,0.034231442
1831.613,EarthOrbit,-24177.556,26820.156,472.405,-239473.626,316405.324,104.317,-4.187947343,1.673375867,0.033241851
2071.613,EarthOrbit,-25176.845,27215.369,480.271,-239669.217,316268.140,104.168,-4.139774135,1.620626373,0.032313420
2311.613,EarthOrbit,-26164.792,27598.316,487.920,-239864.805,316130.952,104.017,-4.093408213,1.571118953,0.031440400
2551.613,EarthOrbit,-27141.817,27969.741,495.366,-240060.285,315993.623,103.869,-4.048742658,1.524553637,0.030617750
2791.613,EarthOrbit,-28108.317,28330.316,502.620,-240255.651,315856.146,103.719,-4.005678132,1.480666731,0.029841030
3031.613,TransLunarCoast,-29064.663,28680.656,509.693,-240451.018,315718.669,103.570,-3.964122410,1.439225483,0.029106317
3271.613,TransLunarCoast,-30011.209,29021.324,516.594,-240646.165,315580.906,103.422,-3.923989898,1.400023660,0.028410128
3511.613,TransLunarCoast,-30948.286,29352.832,523.333,-240841.310,315443.139,103.272,-3.885201148,1.362877863,0.027749360
3751.613,TransLunarCoast,-31876.207,29675.656,529.917,-241036.346,315305.231,103.123,-3.847682393,1.327624439,0.027121242
3991.613,TransLunarCoast,-32795.270,29990.232,536.353,-241231.268,315167.175,102.974,-3.811365103,1.294116885,0.026523288
4231.613,TransLunarCoast,-33705.754,30296.961,542.650,-241426.190,315029.120,102.825,-3.776185573,1.262223643,0.025953264
4471.613,TransLunarCoast,-34607.925,30596.219,548.813,-241620.891,314890.779,102.677,-3.742084536,1.231826235,0.025409155
4711.613,TransLunarCoast,-35502.036,30888.349,554.848,-241815.591,314752.435,102.529,-3.709006805,1.202817668,0.024889139
4951.613,TransLunarCoast,-36388.326,31173.674,560.762,-242010.181,314613.950,102.380,-3.676900947,1.175101068,0.024391564
5191.613,TransLunarCoast,-37267.022,31452.494,566.558,-242204.657,314475.317,102.232,-3.645718980,1.148588499,0.023914929
5431.613,TransLunarCoast,-38138.341,31725.087,572.242,-242399.133,314336.686,102.083,-3.615416099,1.123199956,0.023457865
