t_sec,phase,orion_x,orion_y,orion_z,moon_x,moon_y,moon_z,orion_vx,orion_vy,orion_vz
0.000,parking,0.000,-6771.000,0.000,-206812.799,324024.422,0.000,7.67259,0.00000,0.00000
23.104,parking,177.244,-6768.680,0.000,-206832.725,324011.703,0.000,7.66997,0.20085,0.00000
46.207,parking,354.367,-6761.721,0.000,-206852.651,323998.983,0.000,7.66208,0.40155,0.00000
69.311,parking,531.247,-6750.127,0.000,-206872.576,323986.261,0.000,7.64894,0.60198,0.00000
92.414,parking,707.762,-6733.908,0.000,-206892.501,323973.538,0.000,7.63056,0.80200,0.00000
115.518,parking,883.793,-6713.073,0.000,-206912.424,323960.814,0.000,7.60695,1.00147,0.00000
138.621,parking,1059.218,-6687.638,0.000,-206932.347,323948.088,0.000,7.57813,1.20026,0.00000
161.725,parking,1233.917,-6657.619,0.000,-206952.269,323935.362,0.000,7.54412,1.39822,0.00000
184.829,parking,1407.770,-6623.037,0.000,-206972.190,323922.634,0.000,7.50493,1.59522,0.00000
207.932,parking,1580.659,-6583.917,0.000,-206992.110,323909.905,0.000,7.46060,1.79113,0.00000
231.036,parking,1752.464,-6540.284,0.000,-207012.030,323897.174,0.000,7.41116,1.98581,0.00000
254.139,parking,1923.068,-6492.168,0.000,-207031.949,323884.443,0.000,7.35663,2.17913,0.00000
277.243,parking,2092.354,-6439.604,0.000,-207051.867,323871.710,0.000,7.29707,2.37096,0.00000
300.346,parking,2260.206,-6382.626,0.000,-207071.784,323858.976,0.000,7.23251,2.56116,0.00000
323.450,parking,2426.509,-6321.273,0.000,-207091.700,323846.241,0.000,7.16298,2.74961,0.00000
346.554,parking,2591.150,-6255.588,0.000,-207111.616,323833.504,0.000,7.08855,2.93617,0.00000
369.657,parking,2754.014,-6185.616,0.000,-207131.531,323820.767,0.000,7.00926,3.12073,0.00000
392.761,parking,2914.991,-6111.405,0.000,-207151.445,323808.028,0.000,6.92517,3.30314,0.00000
415.864,parking,3073.970,-6033.005,0.000,-207171.358,323795.288,0.000,6.83633,3.48328,0.00000
438.968,parking,3230.842,-5950.471,0.000,-207191.271,323782.546,0.000,6.74281,3.66105,0.00000
462.072,parking,3385.500,-5863.858,0.000,-207211.183,323769.804,0.000,6.64466,3.83630,0.00000
485.175,parking,3537.838,-5773.227,0.000,-207231.094,323757.060,0.000,6.54196,4.00892,0.00000
508.279,parking,3687.751,-5678.638,0.000,-207251.004,323744.315,0.000,6.43478,4.17879,0.00000
531.382,parking,3835.137,-5580.158,0.000,-207270.913,323731.569,0.000,6.32319,4.34581,0.00000
554.486,parking,3979.894,-5477.854,0.000,-207290.822,323718.821,0.000,6.20726,4.50984,0.00000
577.589,parking,4121.924,-5371.795,0.000,-207310.730,323706.073,0.000,6.08708,4.67078,0.00000
600.693,parking,4261.128,-5262.055,0.000,-207330.637,323693.323,0.000,5.96273,4.82852,0.00000
623.797,parking,4397.413,-5148.709,0.000,-207350.543,323680.571,0.000,5.83429,4.98295,0.00000
646.900,parking,4530.683,-5031.834,0.000,-207370.448,323667.819,0.000,5.70185,5.13397,0.00000
670.004,parking,4660.849,-4911.510,0.000,-207390.353,323655.066,0.000,5.56550,5.28147,0.00000
693.107,parking,4787.820,-4787.820,0.000,-207410.257,323642.311,0.000,5.42534,5.42534,0.00000
716.211,parking,4911.510,-4660.849,0.000,-207430.160,323629.555,0.000,5.28147,5.56550,0.00000
739.314,parking,5031.834,-4530.683,0.000,-207450.062,323616.797,0.000,5.13397,5.70185,0.00000
762.418,parking,5148.709,-4397.413,0.000,-207469.964,323604.039,0.000,4.98295,5.83429,0.00000
785.522,parking,5262.055,-4261.128,0.000,-207489.865,323591.279,0.000,4.82852,5.96273,0.00000
808.625,parking,5371.795,-4121.924,0.000,-207509.765,323578.518,0.000,4.67078,6.08708,0.00000
831.729,parking,5477.854,-3979.894,0.000,-207529.664,323565.756,0.000,4.50984,6.20726,0.00000
854.832,parking,5580.158,-3835.137,0.000,-207549.562,323552.993,0.000,4.34581,6.32319,0.00000
877.936,parking,5678.638,-3687.751,0.000,-207569.460,323540.228,0.000,4.17879,6.43478,0.00000
901.039,parking,5773.227,-3537.838,0.000,-207589.357,323527.462,0.000,4.00892,6.54196,0.00000
924.143,parking,5863.858,-3385.500,0.000,-207609.253,323514.695,0.000,3.83630,6.64466,0.00000
947.247,parking,5950.471,-3230.842,0.000,-207629.148,323501.927,0.000,3.66105,6.74281,0.00000
970.350,parking,6033.005,-3073.970,0.000,-207649.043,323489.158,0.000,3.48328,6.83633,0.00000
993.454,parking,6111.405,-2914.991,0.000,-207668.936,323476.387,0.000,3.30314,6.92517,0.00000
1016.557,parking,6185.616,-2754.014,0.000,-207688.829,323463.615,0.000,3.12073,7.00926,0.00000
1039.661,parking,6255.588,-2591.150,0.000,-207708.722,323450.842,0.000,2.93617,7.08855,0.00000
1062.764,parking,6321.273,-2426.509,0.000,-207728.613,323438.067,0.000,2.74961,7.16298,0.00000
1085.868,parking,6382.626,-2260.206,0.000,-207748.503,323425.292,0.000,2.56116,7.23251,0.00000
1108.972,parking,6439.604,-2092.354,0.000,-207768.393,323412.515,0.000,2.37096,7.29707,0.00000
1132.075,parking,6492.168,-1923.068,0.000,-207788.282,323399.737,0.000,2.17913,7.35663,0.00000
1155.179,parking,6540.284,-1752.464,0.000,-207808.170,323386.958,0.000,1.98581,7.41116,0.00000
1178.282,parking,6583.917,-1580.659,0.000,-207828.058,323374.177,0.000,1.79113,7.46060,0.00000
1201.386,parking,6623.037,-1407.770,0.000,-207847.945,323361.395,0.000,1.59522,7.50493,0.00000
1224.490,parking,6657.619,-1233.917,0.000,-207867.830,323348.612,0.000,1.39822,7.54412,0.00000
1247.593,parking,6687.638,-1059.218,0.000,-207887.715,323335.828,0.000,1.20026,7.57813,0.00000
1270.697,parking,6713.073,-883.793,0.000,-207907.600,323323.043,0.000,1.00147,7.60695,0.00000
1293.800,parking,6733.908,-707.762,0.000,-207927.483,323310.256,0.000,0.80200,7.63056,0.00000
1316.904,parking,6750.127,-531.247,0.000,-207947.366,323297.468,0.000,0.60198,7.64894,0.00000
1340.007,parking,6761.721,-354.367,0.000,-207967.248,323284.679,0.000,0.40155,7.66208,0.00000
1363.111,parking,6768.680,-177.244,0.000,-207987.129,323271.889,0.000,0.20085,7.66997,0.00000
1386.215,TLI,6771.000,0.000,0.000,-208007.009,323259.097,0.000,0.00000,10.76303,0.00000
1386.215,outbound,6771.000,0.000,0.000,-208007.009,323259.097,0.000,0.00000,10.76303,0.00000
1474.544,outbound,6737.193,949.117,0.000,-208083.009,323210.182,0.000,-0.76300,10.70955,0.00000
1562.874,outbound,6637.061,1888.935,0.000,-208158.997,323161.248,0.000,-1.49720,10.55413,0.00000
1651.204,outbound,6474.269,2811.004,0.000,-208234.973,323112.296,0.000,-2.17831,10.31055,0.00000
1739.534,outbound,6254.308,3708.367,0.000,-208310.938,323063.327,0.000,-2.78956,9.99820,0.00000
1827.864,outbound,5983.780,4575.883,0.000,-208386.892,323014.339,0.000,-3.32250,9.63826,0.00000
1916.193,outbound,5669.702,5410.243,0.000,-208462.834,322965.334,0.000,-3.77595,9.25054,0.00000
2004.523,outbound,5318.945,6209.754,0.000,-208538.764,322916.311,0.000,-4.15401,8.85161,0.00000
2092.853,outbound,4937.865,6974.012,0.000,-208614.683,322867.270,0.000,-4.46390,8.45413,0.00000
2181.183,outbound,4532.108,7703.564,0.000,-208690.590,322818.211,0.000,-4.71422,8.06696,0.00000
2269.513,outbound,4106.547,8399.593,0.000,-208766.486,322769.135,0.000,-4.91373,7.69584,0.00000
2357.843,outbound,3665.304,9063.679,0.000,-208842.370,322720.040,0.000,-5.07062,7.34406,0.00000
2446.172,outbound,3211.812,9697.608,0.000,-208918.243,322670.928,0.000,-5.19218,7.01316,0.00000
2534.502,outbound,2748.909,10303.247,0.000,-208994.104,322621.798,0.000,-5.28469,6.70349,0.00000
2622.832,outbound,2278.920,10882.457,0.000,-209069.954,322572.650,0.000,-5.35342,6.41461,0.00000
2711.162,outbound,1803.745,11437.036,0.000,-209145.792,322523.484,0.000,-5.40277,6.14562,0.00000
2799.492,outbound,1324.933,11968.691,0.000,-209221.618,322474.300,0.000,-5.43634,5.89535,0.00000
2887.821,outbound,843.740,12479.020,0.000,-209297.433,322425.099,0.000,-5.45709,5.66252,0.00000
2976.151,outbound,361.191,12969.505,0.000,-209373.237,322375.880,0.000,-5.46743,5.44582,0.00000
3064.481,outbound,-121.886,13441.514,0.000,-209449.028,322326.643,0.000,-5.46933,5.24397,0.00000
3152.811,outbound,-604.818,13896.304,0.000,-209524.809,322277.388,0.000,-5.46438,5.05574,0.00000
3241.141,outbound,-1087.059,14335.026,0.000,-209600.577,322228.115,0.000,-5.45390,4.87999,0.00000
3329.470,outbound,-1568.170,14758.737,0.000,-209676.334,322178.824,0.000,-5.43894,4.71567,0.00000
3417.800,outbound,-2047.795,15168.402,0.000,-209752.080,322129.516,0.000,-5.42039,4.56181,0.00000
3506.130,outbound,-2525.649,15564.906,0.000,-209827.814,322080.190,0.000,-5.39895,4.41752,0.00000
3594.460,outbound,-3001.504,15949.059,0.000,-209903.536,322030.846,0.000,-5.37521,4.28201,0.00000
3682.790,outbound,-3475.178,16321.602,0.000,-209979.246,321981.484,0.000,-5.34965,4.15455,0.00000
3771.120,outbound,-3946.529,16683.218,0.000,-210054.945,321932.104,0.000,-5.32267,4.03449,0.00000
3859.449,outbound,-4415.447,17034.533,0.000,-210130.633,321882.707,0.000,-5.29460,3.92122,0.00000
3947.779,outbound,-4881.847,17376.123,0.000,-210206.309,321833.292,0.000,-5.26570,3.81420,0.00000
4036.109,outbound,-5345.666,17708.519,0.000,-210281.973,321783.859,0.000,-5.23620,3.71297,0.00000
4124.439,outbound,-5806.860,18032.211,0.000,-210357.625,321734.408,0.000,-5.20629,3.61706,0.00000
4212.769,outbound,-6265.399,18347.652,0.000,-210433.266,321684.940,0.000,-5.17611,3.52608,0.00000
4301.098,outbound,-6721.265,18655.261,0.000,-210508.896,321635.453,0.000,-5.14579,3.43967,0.00000
4389.428,outbound,-7174.452,18955.427,0.000,-210584.513,321585.949,0.000,-5.11544,3.35749,0.00000
4477.758,outbound,-7624.959,19248.510,0.000,-210660.119,321536.427,0.000,-5.08514,3.27925,0.00000
4566.088,outbound,-8072.794,19534.846,0.000,-210735.714,321486.888,0.000,-5.05496,3.20468,0.00000
4654.418,outbound,-8517.972,19814.748,0.000,-210811.296,321437.330,0.000,-5.02497,3.13352,0.00000
4742.747,outbound,-8960.510,20088.506,0.000,-210886.868,321387.755,0.000,-4.99520,3.06554,0.00000
4831.077,outbound,-9400.430,20356.393,0.000,-210962.427,321338.162,0.000,-4.96570,3.00054,0.00000
4919.407,outbound,-9837.757,20618.663,0.000,-211037.975,321288.551,0.000,-4.93649,2.93833,0.00000
5007.737,outbound,-10272.518,20875.554,0.000,-211113.511,321238.923,0.000,-4.90761,2.87872,0.00000
5096.067,outbound,-10704.743,21127.289,0.000,-211189.035,321189.277,0.000,-4.87906,2.82156,0.00000
5184.397,outbound,-11134.462,21374.078,0.000,-211264.548,321139.613,0.000,-4.85088,2.76670,0.00000
5272.726,outbound,-11561.708,21616.117,0.000,-211340.049,321089.931,0.000,-4.82306,2.71400,0.00000
